parent_ids,child_ids,times
60877,567,66
7277,568,52
54881,569,50
44628,570,70
567,571,72
574,572,51
574,573,51
88772,574,46
24026,575,45
57756,576,47
63229,577,53
71650,578,40
83602,579,48
19252,580,43
1897,581,25
29633,582,56
90626,583,42
583,584,52
586,585,46
93677,586,40
586,587,45
78796,588,28
31891,590,55
64540,592,62
54124,593,44
46816,597,36
99654,598,51
38010,599,58
41979,600,64
13929,601,50
41124,602,44
81712,603,46
84908,605,45
92774,606,40
1474,607,47
12802,609,51
25357,610,50
7142,611,38
613,612,53
9198,613,49
71992,614,44
44959,615,43
39637,616,45
618,617,51
51770,618,48
41252,619,49
86721,620,50
38347,621,57
83256,622,45
624,623,60
4254,624,57
624,625,63
59022,626,42
626,627,48
20117,628,48
628,629,56
94491,630,50
34286,631,44
54624,634,50
70471,635,52
97859,636,48
18128,638,66
43732,639,47
30282,640,43
17949,641,36
81054,642,53
21049,643,59
60229,644,38
43727,645,40
649,647,56
74795,648,47
67712,649,49
68195,650,42
647,651,63
47385,652,49
655,653,45
17865,654,31
93662,655,38
658,657,49
82323,658,47
658,659,51
658,660,50
13036,661,50
53049,662,27
14794,663,35
58410,665,51
91739,666,54
99642,667,51
3713,668,48
668,669,57
671,670,54
70980,671,48
675,674,50
9156,675,47
677,676,40
7960,677,34
13699,678,42
678,679,46
677,680,39
23565,682,64
18040,684,46
38510,685,45
71183,686,44
97713,687,39
99607,689,50
89137,690,40
17867,691,60
690,692,45
690,693,45
26136,694,42
79936,695,63
697,696,45
7142,697,39
697,698,41
697,699,42
51165,700,23
24122,701,70
52284,703,40
703,704,46
19762,705,54
22641,706,44
70996,707,59
93201,708,43
41048,709,57
14588,710,51
53799,711,46
91142,712,52
65281,713,51
712,715,57
718,716,52
718,717,50
1395,718,48
80676,722,30
81316,723,38
99028,724,53
726,725,40
35384,726,35
726,727,40
726,728,37
6829,729,37
19736,731,53
51121,732,51
731,734,58
16924,735,36
18722,736,47
42039,737,55
13859,738,36
38816,739,48
741,740,46
28468,741,41
42739,742,37
51011,743,20
16732,744,52
42814,745,51
742,746,48
746,747,51
55561,748,54
599,749,60
95140,752,37
58563,754,50
68072,755,55
41886,756,58
46826,757,51
83947,758,52
68211,759,51
759,760,61
703,761,44
59360,762,42
764,763,57
8064,764,52
768,766,47
94621,767,41
46895,768,40
61917,769,46
768,770,45
60775,771,31
91301,772,54
9983,774,45
81493,775,63
98896,776,52
62606,777,44
777,778,48
780,779,48
39143,780,44
777,781,50
783,782,52
8233,783,49
72681,784,55
93171,786,51
38220,788,42
788,789,48
85090,790,59
793,791,59
22226,793,55
59684,795,69
33904,796,37
26846,797,55
76908,799,53
19024,800,53
46017,801,43
58008,802,60
86429,803,65
